behavior,count,denominator,ratio
in_sidewalk_any,54,67,0.806
in_bike_lane_any,13,67,0.194
in_roadway_any,0,67,0.0
wrong_way,4,10,0.4
dominant_space=sidewalk,54,67,0.806
dominant_space=bike_lane,13,67,0.194
