frame,track_id,x1,y1,x2,y2
5,788,532.3786010742188,820.3610229492188,702.4264526367188,1023.4491577148438
40,791,1431.9426533606866,705.3741000523571,1691.4112831572324,987.6469149849088
33,795,1312.9810122343024,729.5793745333023,1520.8100321648167,1016.0153198200081
84,807,925.0745132787988,583.9447792782889,970.7097819195801,657.4376747985391
86,814,190.0439016127784,626.3136860149998,334.3242674928032,698.3058420600992
89,814,196.01257769806472,641.3762853933315,327.1330709313442,698.8814355136562
90,814,194.0783779248897,637.848192802373,330.42455142444106,696.9634431603274
91,814,192.98959900355788,638.4853932641644,330.9326575869588,696.8644921382962
95,814,192.51364952433596,636.8257211332261,331.43628098738975,696.1984541748707
96,814,191.13730375161703,633.3009212760657,333.9954156866061,695.7347362545139
97,814,180.0876075087333,647.3216926813693,338.4603796951792,725.4791965040431
88,817,517.8657164308003,616.6638888949468,601.0364084534207,662.5633938162392
92,820,1033.449102577572,636.4947408836697,1087.2544881394224,701.7828751990967
94,825,830.618854331978,633.1048661616156,880.6469378258311,717.0395579293776
114,829,1675.9392177591774,695.1017565387922,1924.8477311881477,968.478290272893
116,829,1622.7587188667383,701.5151779788023,1918.8778543396354,1020.1200984026491
115,834,894.180657645493,603.1162601267179,1005.8671537626476,787.3574037048527
114,835,188.43806938886678,621.7873048885821,336.1986847556715,696.5191173827196
116,835,190.70572937599178,627.094935733452,332.40588196839366,697.1113617565214
123,835,191.1086888001602,627.0060066099437,333.5147503030721,696.5594368818716
124,835,191.16252343258174,624.978997406108,335.02268285698636,695.5678561005848
125,835,190.11893146728642,622.328749633816,336.6233392775098,695.4423149875838
126,835,190.4151618746282,624.6798174079453,336.175288579125,696.5273245664222
127,835,190.27987885053,625.7619297341455,336.4552664371958,696.9652471687193
128,835,189.08558743271465,622.2600351713274,337.2341204272549,695.5191039326924
129,835,188.7024025652198,621.0018300377992,337.95184844140795,695.7745592859444
130,835,188.83101755855967,621.2779066674537,338.0626342087147,696.3154346995988
131,835,188.83497974318732,622.2970428067783,337.9594254234239,696.8041627396769
133,835,178.75540649027593,607.9222437440831,319.69629495651293,689.5161798699364
135,835,216.1063054373358,611.2045230257656,341.4250170674337,692.2187173853224
136,835,204.5584260158145,613.4110650273079,336.12766099885016,694.8628499153823
137,835,199.03346665296914,611.3889566799157,335.4763673900914,694.8645171395397
138,835,197.2200691631837,614.890444807858,335.75152796252905,696.6555622183499
139,835,194.6436940462019,611.8171994898273,336.1842297967132,695.4173668325584
140,835,193.60978856165758,614.6418685707991,336.19316842374593,696.7585783388232
141,835,192.84509259917144,614.1791037398857,336.56107517511447,696.4492281610974
145,835,190.91314061883023,611.3483605634959,335.9473897631865,695.2902212905339
146,835,190.71101671960048,617.4659398168238,335.563532371399,697.7733802140159
147,835,190.12154449699614,622.7527323705307,335.68671507486573,698.6923654507067
148,835,189.6491275714932,624.2197359096559,336.08876102995293,698.4239345046611
149,835,189.44334714510097,621.8239821225924,336.4160969853444,696.7492250562024
150,835,178.80340064750453,609.4629538663793,315.19689149452563,691.1938364152967
152,835,189.50793047143915,621.0527139657631,329.4786023886152,697.7562246363327
153,835,191.00130320405287,623.312877177236,332.6815900361163,697.9073536364995
154,835,190.12523201137424,616.7245863387517,334.4520345771208,694.712179390298
155,835,189.87692410543286,624.6216938294177,335.4719315228863,698.2213495662089
156,835,189.70434884043044,626.0356354784352,336.17768545783434,698.1966596956753
157,835,189.59059547909706,622.7691916426809,337.3264403347307,696.2452120618973
158,835,189.30615952058844,621.9229966789385,337.6803701428991,696.0102064555792
160,835,194.66022039026768,610.4916327270346,340.7235531503669,691.694371080082
161,835,191.47169448553507,614.8607569301613,338.549235854224,695.1984757339698
162,835,190.46071682016736,619.9231936891947,337.7651683809281,697.4751590082424
163,835,189.46583754099973,617.1440022267001,338.319994861346,696.313916122711
164,835,188.5257200629261,610.5885072919775,338.68527632073653,693.706549813613
167,835,188.79393185546306,618.0049865604702,338.610799094498,697.5485794201696
170,835,188.5427951076326,616.4746314153242,338.841003541913,696.8966616911332
172,835,188.8407163572927,621.263120198647,338.6574979132121,698.2920730411535
127,836,1515.4167163178245,704.1942258134088,1812.2574135190107,1001.3916242404846
127,839,1008.8623180008593,630.0651877703084,1055.1854803844865,685.6066179219916
128,841,519.9533736636749,604.427598719014,600.8735436059142,660.9256046769012
129,841,516.8863010245999,600.3893963548742,602.5905263593035,660.5273332592567
130,841,514.8020142062899,599.7224679922808,601.4132618634121,660.9236551739298
131,841,515.8846070587415,599.8970489813471,601.9299981046497,660.904213273413
133,841,514.0962038232726,596.8127428201472,602.879145054686,660.4598595750488
140,841,516.604793763742,604.712308343303,595.9304274134774,661.942330042823
143,841,517.0126554360772,608.0665507063052,589.2073400960135,661.3702790832463
140,845,519.0258183331487,608.7256465713936,602.1657594073874,662.2907698894701
150,846,183.41465783592344,601.03579975279,323.41365507034925,700.9084822738452
151,846,183.2558433733726,594.8329327714375,316.14986990316294,697.5292280376004
157,849,1183.0533306701275,826.671367707616,1486.2547863201155,1032.0771764901217
154,850,1247.5162697217602,603.3550614841839,1390.6418457642658,760.1761275294294
158,853,516.4760720438087,592.9824813496017,595.5783016725754,661.0818563377517
160,853,514.9089315952743,599.2496341139196,577.6402659640474,658.5755025891614
163,853,518.7183874045047,601.7262625665719,577.3888156295218,659.2219951278898
165,853,519.6313430028821,597.9849579683561,592.1995645996657,661.1201084569631
166,853,518.0155691422572,595.0024440713111,597.1894891384072,661.0303867106637
168,853,515.5910462151581,595.4614497972766,591.8226157006424,660.8800566481298
160,855,89.61608709468285,725.1935899744328,232.0627333595294,872.1731980842424
163,856,765.2182223749455,611.4261565032022,811.8895628624512,728.7636470315048
164,857,865.7191733206123,671.7416038178534,955.7619767894898,825.4414286245145
169,860,1348.116976446875,620.3145895531428,1514.3475952560525,830.7639904909569
168,861,979.3950678207624,570.8461401845651,1052.6725078237764,690.0916970614727
171,867,191.23782322239373,627.6941316167315,336.66490998335513,696.3945057074443
173,867,194.58038385904607,631.80219136702,335.0570034513588,696.4061752581692
174,868,188.7438697745285,614.5868248526892,339.3181679019513,697.1913047039277
175,868,188.41773462562116,614.825406639687,338.8227595351764,696.9488803045623
176,868,187.99780166274775,611.6720049135628,339.3412975096958,695.9738660120146
177,868,188.1911019755746,612.5031460602896,339.11343975400507,696.1459726866345
178,868,188.86563981386,614.6926557696645,339.0423532945861,697.0380617088742
179,868,189.41054009655045,618.5254038134603,338.6750387113922,697.8769056179704
180,868,190.00916915636978,618.569230765697,338.7301622419012,697.0511429447039
181,868,190.60706498077,624.1332878594421,337.6580392610683,698.3006290057681
182,868,190.65653253067612,624.3042637491241,337.2099935092922,697.5872469066852
183,868,190.48151867792603,622.8792096093764,337.8130187054784,696.7668282339407
184,868,190.7156487491163,625.294692579474,337.55320566172577,697.5661376981652
185,868,191.23742004202086,624.5862282883628,337.68601188490334,696.6411340586127
186,868,190.71088272765374,622.8055927436108,337.9839239460222,696.123726153673
187,868,189.45800569771123,617.136804283509,338.4699559827293,694.2751515376219
188,868,189.7221607605473,620.1976153896526,338.3156132829491,696.44559643192
189,868,190.2040311616223,621.4102755826831,338.570713729353,696.7808009302479
192,868,189.53291166626906,618.547063905219,338.7543389836314,695.9480950111373
193,868,189.25368654866338,617.6619162974604,338.97046481267773,695.9771091863091
195,868,171.3778288716486,605.2432177414057,295.7806299723564,687.0798673830291
175,871,745.4533762391993,576.8402398076278,788.092338909946,640.3884688596472
177,872,716.3596112129787,630.3882814037895,780.229538813825,787.0134757454439
182,880,1079.132067439954,596.8385139943433,1172.2474094825934,718.8904942476171
192,890,1078.1936764227837,611.5918233122594,1174.8063383336205,745.3228548460919
198,896,980.0380525057778,593.7969127069952,1046.4204098247437,684.2351166559844
198,897,816.283255119614,588.6469609967561,873.8585748617335,694.4568536709534
197,899,82.09780590528175,682.4134805639596,170.00814946240112,885.5946169494621
199,905,229.3637680131859,611.7980121437499,337.013130911021,698.9984343578324
200,905,200.45185303440834,617.4695494095637,330.37762268670474,701.6866472538028
