track_id,crossing_any,crossing_crosswalk,crossing_non_crosswalk,wrong_way
1512,False,False,False,NA
1515,False,False,False,NA
1516,False,False,False,NA
1517,False,False,False,NA
1520,False,False,False,NA
1532,False,False,False,NA
1533,False,False,False,NA
1538,False,False,False,NA
1541,False,False,False,NA
1548,False,False,False,NA
1564,False,False,False,NA
1567,False,False,False,NA
1568,False,False,False,NA
1569,False,False,False,False
1578,False,False,False,NA
1579,False,False,False,NA
1583,False,False,False,NA
1593,False,False,False,NA
1600,False,False,False,NA
1604,False,False,False,NA
1612,True,False,True,NA
1616,False,False,False,NA
1625,False,False,False,NA
1630,False,False,False,NA
1631,False,False,False,NA
1632,False,False,False,NA
1635,False,False,False,NA
1637,False,False,False,NA
1640,False,False,False,NA
1644,False,False,False,NA
1646,False,False,False,NA
1649,False,False,False,NA
1651,False,False,False,NA
1657,False,False,False,NA
1660,False,False,False,NA
1668,False,False,False,NA
1669,False,False,False,NA
1671,False,False,False,NA
1674,False,False,False,NA
1675,False,False,False,NA
1681,False,False,False,NA
1684,False,False,False,NA
1688,False,False,False,NA
1693,False,False,False,NA
1698,False,False,False,NA
1702,False,False,False,NA
1707,False,False,False,NA
1711,False,False,False,NA
1716,False,False,False,NA
1717,False,False,False,NA
1719,False,False,False,NA
1721,False,False,False,NA
1724,False,False,False,NA
1731,False,False,False,NA
1741,False,False,False,NA
1747,False,False,False,NA
1749,False,False,False,NA
1752,False,False,False,NA
1754,False,False,False,NA
1755,False,False,False,NA
1761,False,False,False,NA
1765,False,False,False,NA
1772,False,False,False,NA
1773,False,False,False,NA
1774,False,False,False,NA
1775,False,False,False,NA
1777,True,False,True,False
1789,False,False,False,NA
1791,False,False,False,NA
1795,False,False,False,NA
1802,False,False,False,NA
1808,False,False,False,NA
1809,False,False,False,NA
1812,False,False,False,NA
1814,False,False,False,NA
1816,False,False,False,NA
1819,False,False,False,NA
1820,False,False,False,NA
1823,False,False,False,NA
1824,False,False,False,NA
1825,False,False,False,NA
1827,False,False,False,NA
1840,False,False,False,NA
1841,False,False,False,NA
1842,False,False,False,NA
1844,False,False,False,NA
1852,False,False,False,NA
