event_id,n_imgs,has_target,n_det,in_sidewalk_any,in_bike_lane_any,in_roadway_any,dominant_space,wrong_way,direction,cos_to_flow
0,3,False,,,,,,,,
1,11,False,,,,,,,,
2,1,False,,,,,,,,
3,2,False,,,,,,,,
4,1,False,,,,,,,,
5,2,False,,,,,,,,
6,2,False,,,,,,,,
7,2,False,,,,,,,,
8,2,False,,,,,,,,
9,11,True,1.0,False,False,True,roadway,,,
10,2,False,,,,,,,,
11,6,False,,,,,,,,
12,10,True,1.0,False,False,True,roadway,,,
13,12,False,,,,,,,,
14,1,False,,,,,,,,
15,2,False,,,,,,,,
16,2,False,,,,,,,,
17,4,False,,,,,,,,
18,2,False,,,,,,,,
19,2,False,,,,,,,,
20,2,False,,,,,,,,
21,6,False,,,,,,,,
22,4,False,,,,,,,,
23,2,False,,,,,,,,
24,2,False,,,,,,,,
25,2,False,,,,,,,,
26,1,False,,,,,,,,
27,3,False,,,,,,,,
28,2,False,,,,,,,,
29,3,False,,,,,,,,
30,1,False,,,,,,,,
31,1,False,,,,,,,,
32,2,False,,,,,,,,
33,1,False,,,,,,,,
34,3,False,,,,,,,,
35,2,True,1.0,False,False,True,roadway,,,
36,2,False,,,,,,,,
37,2,False,,,,,,,,
38,2,True,1.0,False,False,True,roadway,,,
39,1,False,,,,,,,,
40,2,True,2.0,False,False,True,roadway,,,
41,2,True,1.0,False,False,True,roadway,,,
42,4,False,,,,,,,,
43,8,False,,,,,,,,
44,7,False,,,,,,,,
45,2,True,1.0,False,False,True,roadway,,,
46,8,True,2.0,False,False,True,roadway,,,
47,3,False,,,,,,,,
48,12,False,,,,,,,,
49,8,False,,,,,,,,
50,1,True,1.0,False,False,True,roadway,,,
51,1,False,,,,,,,,
52,1,False,,,,,,,,
53,1,False,,,,,,,,
54,2,True,1.0,False,False,True,roadway,,,
55,1,True,1.0,False,False,True,roadway,,,
56,4,False,,,,,,,,
57,11,True,5.0,False,False,True,roadway,,,
58,4,False,,,,,,,,
59,5,False,,,,,,,,
60,1,False,,,,,,,,
61,6,False,,,,,,,,
62,6,True,2.0,False,False,True,roadway,,,
