behavior,count,denominator,ratio
crossing_any,0,79,0.0
crossing_crosswalk,0,79,0.0
crossing_non_crosswalk,0,79,0.0
in_sidewalk_any,0,79,0.0
in_bike_lane_any,1,79,0.013
in_roadway_any,1,79,0.013
wrong_way,0,0,
dominant_space=unknown,78,79,0.987
dominant_space=bike_lane,1,79,0.013
