event_id,n_images,img_first,img_last,has_target,touch_crosswalk,has_flow,wrong_way,direction,cos_to_flow
0,1,IM_25975.JPG,IM_25975.JPG,False,False,True,NA,NA,NA
1,2,IM_25983.JPG,IM_25984.JPG,False,False,True,NA,NA,NA
2,2,IM_25991.JPG,IM_25992.JPG,False,False,True,NA,NA,NA
3,2,IM_26005.JPG,IM_26006.JPG,False,False,True,NA,NA,NA
4,3,IM_26011.JPG,IM_26013.JPG,True,False,True,NA,NA,NA
5,2,IM_26021.JPG,IM_26022.JPG,False,False,True,NA,NA,NA
6,2,IM_26031.JPG,IM_26032.JPG,False,False,True,NA,NA,NA
7,1,IM_26061.JPG,IM_26061.JPG,False,False,True,NA,NA,NA
8,2,IM_26065.JPG,IM_26066.JPG,False,False,True,NA,NA,NA
9,1,IM_26125.JPG,IM_26125.JPG,True,False,True,NA,NA,NA
10,5,IM_26143.JPG,IM_26148.JPG,False,False,True,NA,NA,NA
11,1,IM_26154.JPG,IM_26154.JPG,False,False,True,NA,NA,NA
12,4,IM_26161.JPG,IM_26164.JPG,True,False,True,True,against_flow,-0.9885539320209734
13,4,IM_26169.JPG,IM_26172.JPG,True,False,True,NA,NA,NA
14,3,IM_26185.JPG,IM_26187.JPG,True,False,True,True,against_flow,-0.3040988825488553
15,1,IM_26207.JPG,IM_26207.JPG,True,False,True,NA,NA,NA
16,7,IM_26226.JPG,IM_26233.JPG,True,False,True,NA,NA,NA
17,3,IM_26241.JPG,IM_26243.JPG,False,False,True,NA,NA,NA
18,3,IM_26251.JPG,IM_26253.JPG,False,False,True,NA,NA,NA
19,1,IM_26263.JPG,IM_26263.JPG,True,False,True,NA,NA,NA
20,3,IM_26287.JPG,IM_26290.JPG,True,False,True,False,along_flow,0.5117289884447964
21,7,IM_26295.JPG,IM_26301.JPG,True,False,True,NA,NA,NA
22,1,IM_26306.JPG,IM_26306.JPG,False,False,True,NA,NA,NA
23,2,IM_26345.JPG,IM_26346.JPG,False,False,True,NA,NA,NA
24,2,IM_26351.JPG,IM_26352.JPG,False,False,True,NA,NA,NA
25,2,IM_26367.JPG,IM_26368.JPG,False,False,True,NA,NA,NA
26,2,IM_26381.JPG,IM_26382.JPG,False,False,True,NA,NA,NA
27,11,IM_26385.JPG,IM_26396.JPG,True,False,True,NA,NA,NA
28,1,IM_26413.JPG,IM_26413.JPG,False,False,True,NA,NA,NA
29,4,IM_26429.JPG,IM_26434.JPG,False,False,True,NA,NA,NA
30,1,IM_26439.JPG,IM_26439.JPG,False,False,True,NA,NA,NA
31,10,IM_26457.JPG,IM_26467.JPG,False,False,True,NA,NA,NA
32,2,IM_26470.JPG,IM_26471.JPG,False,False,True,NA,NA,NA
33,2,IM_26483.JPG,IM_26484.JPG,False,False,True,NA,NA,NA
34,4,IM_26503.JPG,IM_26506.JPG,False,False,True,NA,NA,NA
35,1,IM_26511.JPG,IM_26511.JPG,True,False,True,NA,NA,NA
