behavior,count,denominator,ratio
in_sidewalk_any,0,22,0.0
in_bike_lane_any,17,22,0.773
in_roadway_any,15,22,0.682
wrong_way,6,15,0.4
dominant_space=bike_lane,15,22,0.682
dominant_space=roadway,7,22,0.318
