n_imgs,has_target,n_det,in_sidewalk_any,in_bike_lane_any,in_roadway_any,dominant_space,wrong_way,direction,cos_to_flow,event_id
1,True,1.0,False,True,False,bike_lane,,,,0
1,True,1.0,False,True,False,bike_lane,,,,1
7,True,7.0,False,True,True,bike_lane,False,along_flow,0.04407846674102471,2
4,True,6.0,False,True,True,bike_lane,False,along_flow,0.9967448821744525,3
4,True,4.0,False,True,True,bike_lane,False,along_flow,0.9999896473322659,4
3,True,3.0,False,False,True,roadway,False,along_flow,0.9999084945925358,5
17,True,13.0,False,True,True,bike_lane,False,along_flow,0.9999180337834734,6
2,True,2.0,False,True,False,bike_lane,True,against_flow,-0.9715336525255448,7
12,True,4.0,False,True,False,bike_lane,False,along_flow,0.9997462672234245,8
2,True,1.0,False,False,True,roadway,,,,9
2,True,4.0,False,True,True,bike_lane,True,against_flow,-0.999969819250984,10
1,True,1.0,False,True,False,bike_lane,,,,11
4,True,4.0,False,True,False,bike_lane,False,along_flow,0.9965185046455962,12
6,True,5.0,False,True,True,roadway,True,against_flow,-0.9892324524368659,13
1,True,1.0,False,True,False,bike_lane,,,,14
10,True,4.0,False,True,True,bike_lane,False,along_flow,0.9928402155303749,15
1,True,1.0,False,False,True,roadway,,,,16
2,False,,,,,,,,,17
6,True,2.0,False,False,True,roadway,True,against_flow,-0.9707134592741398,18
2,True,2.0,False,True,True,bike_lane,,,,19
2,False,,,,,,,,,20
4,True,3.0,False,False,True,roadway,False,along_flow,0.7948970306421101,21
4,True,4.0,False,True,True,bike_lane,True,against_flow,-0.9986820359760048,22
6,True,5.0,False,True,True,roadway,True,against_flow,-0.5785586052735899,23
2,False,,,,,,,,,24
