behavior,count,denominator,ratio
in_sidewalk_any,0,82,0.0
in_bike_lane_any,82,82,1.0
in_roadway_any,0,82,0.0
wrong_way,3,26,0.115
dominant_space=bike_lane,82,82,1.0
