event_id,n_imgs,has_target,n_det,in_sidewalk_any,in_bike_lane_any,in_roadway_any,dominant_space,wrong_way,direction,cos_to_flow
0,1,False,,,,,,,,
1,4,False,,,,,,,,
2,16,True,5.0,False,False,True,roadway,True,against_flow,-0.983130042933992
3,3,False,,,,,,,,
4,29,True,7.0,False,True,True,roadway,True,against_flow,-0.2801504047089735
5,2,False,,,,,,,,
6,1,True,1.0,False,False,True,roadway,,,
7,4,True,2.0,False,False,True,roadway,True,against_flow,-0.9993961117832052
8,7,False,,,,,,,,
9,2,False,,,,,,,,
10,2,False,,,,,,,,
11,2,False,,,,,,,,
12,4,False,,,,,,,,
13,4,True,1.0,False,False,True,roadway,,,
14,6,True,1.0,False,False,True,roadway,,,
15,2,True,4.0,False,True,True,bike_lane,True,against_flow,-0.9896379481606077
16,8,True,7.0,False,True,True,roadway,False,along_flow,0.6707156916026602
17,16,True,2.0,False,True,True,bike_lane,False,along_flow,0.9791448779437009
18,6,True,3.0,False,False,True,roadway,True,against_flow,-0.08211373333807254
19,7,True,1.0,False,False,True,roadway,,,
20,35,True,19.0,False,True,True,roadway,False,along_flow,0.9923088143107235
21,11,True,10.0,False,True,True,bike_lane,True,against_flow,-0.9789267755423066
22,6,True,7.0,False,True,True,roadway,False,along_flow,0.7830529784675212
23,2,True,6.0,False,False,True,roadway,True,against_flow,-0.9993029116445629
24,2,True,1.0,False,True,False,bike_lane,,,
25,12,True,9.0,False,True,True,roadway,False,along_flow,0.9840193052413928
26,18,True,11.0,False,True,True,roadway,True,against_flow,-0.970795638980904
27,3,True,1.0,False,False,True,roadway,,,
28,2,False,,,,,,,,
29,1,True,1.0,False,True,False,bike_lane,,,
30,4,True,3.0,False,False,True,roadway,True,against_flow,-0.9637388021401811
31,1,False,,,,,,,,
32,8,True,2.0,False,False,True,roadway,False,along_flow,0.4415399008098392
33,1,True,1.0,False,False,True,roadway,,,
34,7,True,1.0,False,False,True,roadway,,,
35,1,False,,,,,,,,
36,1,False,,,,,,,,
37,2,False,,,,,,,,
38,3,False,,,,,,,,
39,2,True,2.0,False,False,True,roadway,True,against_flow,-0.9397735024224172
40,1,False,,,,,,,,
41,1,False,,,,,,,,
42,2,False,,,,,,,,
43,3,True,1.0,False,False,True,roadway,,,
44,2,False,,,,,,,,
45,2,False,,,,,,,,
46,4,False,,,,,,,,
47,1,False,,,,,,,,
48,2,False,,,,,,,,
49,2,False,,,,,,,,
50,2,False,,,,,,,,
51,1,False,,,,,,,,
52,1,False,,,,,,,,
53,2,False,,,,,,,,
54,2,False,,,,,,,,
55,2,False,,,,,,,,
56,25,False,,,,,,,,
57,6,False,,,,,,,,
58,2,False,,,,,,,,
59,2,True,1.0,False,False,True,roadway,,,
60,6,False,,,,,,,,
61,6,False,,,,,,,,
62,2,False,,,,,,,,
63,3,False,,,,,,,,
64,4,False,,,,,,,,
65,2,False,,,,,,,,
66,2,False,,,,,,,,
67,3,False,,,,,,,,
68,1,False,,,,,,,,
69,4,True,1.0,False,True,False,bike_lane,,,
70,2,False,,,,,,,,
71,4,False,,,,,,,,
72,3,True,2.0,False,False,True,roadway,True,against_flow,-0.9999994797691951
73,2,True,1.0,False,False,True,roadway,,,
74,6,True,5.0,False,True,True,bike_lane,True,against_flow,-0.9963097776709473
75,1,True,1.0,False,False,True,roadway,,,
