behavior,count,denominator,ratio
in_sidewalk_any,2,55,0.036
in_bike_lane_any,51,55,0.927
in_roadway_any,5,55,0.091
wrong_way,2,22,0.091
dominant_space=bike_lane,49,55,0.891
dominant_space=roadway,4,55,0.073
dominant_space=sidewalk,2,55,0.036
