behavior,count,denominator,ratio
in_sidewalk_any,0,38,0.0
in_bike_lane_any,31,38,0.816
in_roadway_any,31,38,0.816
wrong_way,11,25,0.44
dominant_space=bike_lane,25,38,0.658
dominant_space=roadway,13,38,0.342
